id	tier	scope	regex	threshold	unit	action	source_ref	notes
wp-challenges-future-closer	WATCH	narration	\bdespite (its|their) [^.;]{0,80}\bfaces? (several |numerous |many )?challenges\b|\bfaces? several challenges\b|\bdespite these challenges\b|\bchallenges and (legacy|future directions)\b|\bfuture (outlook|prospects)\b			Cut the outline-style closer; end the chapter on scene not summary	wikipedia:Outline-like conclusions about challenges and future prospects	Rigid formula: 'Despite its X faces challenges...' then a vaguely positive assessment or speculation about future initiatives, usually closing a rigid outline structure. Caveat: the sign is the formula itself, not any mention of challenges or challenging.
wp-copulative-avoidance	WATCH	narration	\b(serves|stands) as an?\b|\b(marks|represents) an?\b|\b(boasts|features|maintains|offers) an?\b|\brefers to\b			Use plain is/are/has instead of serves-as/features/offers constructions	wikipedia:Avoidance of basic copulatives	Replaces simple is/are with serves as / marks / represents and has with features/offers/boasts/maintains; observed in GPT and Gemini models; 'refers to' used to avoid 'is' in definitions. Caveat: do not confuse with past perfect ('has been featured'); single uses are normal English - density is the tell. Overlaps wp-ailegacy stands/serves-as alternates by design.
wp-aivocab-cluster	WATCH	narration	\balign(s|ed|ing)? with\b|\bboasts?\b|\bbolster(ed|ing|s)?\b|\bcrucial\b|\bdelv(e[sd]?|ing)\b|\bemphasi[zs](es?|ed|ing)\b|\benduring\b|\benhanc(e[sd]?|ing|ements?)\b|\bfoster(s|ed|ing)?\b|\bgarner(s|ed|ing)?\b|\bhighlight(s|ed|ing)?\b|\binterplay\b|\bintricate\b|\bintricac(y|ies)\b|\bkey\b|\blandscape\b|\bmeticulous(ly)?\b|\bpivotal\b|\brobust\b|\bshowcas(e[sd]?|ing)\b|\btapestry\b|\btestament\b|\bunderscor(e[sd]?|ing)\b|\bvaluable\b|\bvibrant\b			Replace AI-vocabulary words with plainer or more specific diction	wikipedia:WP:AIVOCAB	Merge with collation 2.33 AI vocabulary cluster. One or two hits are coincidence; many co-occurring hits in post-2022 text is one of the strongest AI tells. Era-dependent: delve peaked 2023-24 then dropped sharply in 2025; GPT-4o favored align with/fostering/showcasing; GPT-5 favors emphasizing/enhance/highlighting/showcasing. Context matters: key only as adjective, landscape/tapestry only as abstract nouns, underscore can be literal, highlight(s) can be a noun - regex cannot disambiguate, reviewer must.
wp-aivocab-additionally-start	WATCH	narration	^Additionally,			Vary sentence openers; merge or recast the Additionally sentence	wikipedia:WP:AIVOCAB	Sentence-initial 'Additionally,' is the strongest single AIVOCAB marker; line-anchored sub-pattern of the vocabulary cluster (merge with collation 2.33).
wp-aititlecase-headings	WATCH	heading	__ENGINE__			Use sentence case in headings	wikipedia:WP:AITITLECASE	engine:title-case-headings - AI chatbots strongly tend to capitalize all main words in section headings.
wp-aibold-density	WATCH	document	__ENGINE__			Remove mechanical key-takeaways boldface	wikipedia:WP:AIBOLD	engine:bold-density - excessive mechanical boldface inherited from readmes/fan wikis/how-tos/slide decks/listicles; often bolds every instance of a chosen phrase. Caveat: some newer models are instructed to avoid boldface overuse.
wp-ailist-inline-header-list	WATCH	document	__ENGINE__			Convert inline-header bullet lists to prose	wikipedia:WP:AILIST	engine:inline-header-list - vertical lists where each marker is followed by a bold inline header plus colon plus description; markers may be bullet char, hyphen, en dash, hash, emoji or explicit numbers; line breaks may be lost when pasted as bare text.
wp-aidash-emdash-density	WATCH	both	__ENGINE__			Reduce em-dash density; prefer commas/parentheses/colons where natural	wikipedia:WP:AIDASH	engine:emdash-density - MERGE with punctuation_format em-dash density row; do not double-count. LLMs use em dashes where humans use commas/parens/colons, in formulaic punched-up parallelisms. Caveats: only useful combined with other signs; humans use em dashes too; GPT-5.1 and some newer chatbots suppress them.
wp-aitable-in-prose	WATCH	document	__ENGINE__			Replace unnecessary small tables with prose	wikipedia:WP:AITABLE	engine:table-in-prose - rare sign: small unnecessary tables that would read better as prose; in a fiction manuscript any data table mid-prose is suspect.
wp-aicurly-quote-inconsistency	WATCH	document	__ENGINE__			Normalize to one quote style across the manuscript	wikipedia:WP:AICURLY	engine:quote-style-inconsistency - the tell is INCONSISTENT mixing of curly and straight quotes/apostrophes in one text (ChatGPT/DeepSeek habit). IMPORTANT caveats: curly quotes alone prove nothing - they are standard in professional typesetting (Chicago style, newspapers), Word smart quotes, macOS/iOS autocorrect, LanguageTool; Gemini and Claude models typically do NOT use curly quotes; some fonts render the difference invisibly.
wp-heading-skipped-level	WATCH	document	__ENGINE__			Fix heading hierarchy to not skip levels	wikipedia:Skipping heading levels	engine:skipped-heading-level - AI chatbots tend to skip level-2 headings and start at level 3; very unlikely in manually formatted text.
wp-thematic-break-before-heading	WATCH	document	__ENGINE__			Delete horizontal rules before headings	wikipedia:Thematic breaks before headings	engine:thematic-break-before-heading - thematic break (----/***) immediately before each heading; common artifact of Markdown chatbot output.
