id	tier	scope	regex	threshold	unit	action	source_ref	notes
tells-2.1-throat-breath	BANNED	narration	\bthroat (works|worked|bobs|bobbed)\b|\bswallow(s|ed)? (hard|thickly)\b|\bbreath (catches|caught|hitches|hitched|stutters|stuttered)\b|\bbreath (was )?punched out\b|\bexhale[sd]? (slowly|shakily)\b|\b(releases?|released|lets? out|let out) a breath (he|she|they) didn'?t know\b|\bbreath (he|she|they) didn'?t know (he|she|they) (was|were) holding\b|\bforg(ets|ot) to breathe\b|\blet out a breath\b			Replace reflexive tell with visible struggle or named emotion	collation:1296-1304 [AI-isms Bible 2.1 Throat/Breath]	'let out a breath' collocation derived from source's 'releases a breath' form
tells-2.1-throat-breath-watch	WATCH	narration	\b(throat|breath|breathes?|breathed|breathing|exhales?|exhaled|swallows?|swallowed)\b			Replace with visible struggle	collation:1296-1304 [AI-isms Bible 2.1 Throat/Breath]	Bare-word density row per body-part group
tells-2.1-eyes	BANNED	narration	\beyes (darken|darkened|go dark|went dark)\b|\bpupils (blown|blew wide)\b|\bblown wide\b|\bgaze (sharpens|sharpened|hardens|hardened|softens|softened)\b|\bsomething flicker(s|ed) in (his|her|their) eyes\b|\beyes search(es|ed)? (his|her|their) face\b			Replace reflexive tell with what is actually seen or felt	collation:1312-1318 [AI-isms Bible 2.1 Eyes]	
tells-2.1-eyes-watch	WATCH	narration	\b(eyes?|gaze|pupils?)\b			Replace with specific observation	collation:1312-1318 [AI-isms Bible 2.1 Eyes]	Bare-word density row; normal references fine in isolation
tells-2.1-hands-body	BANNED	narration	\bhands? curl(s|ed)? into fists?\b|\bknuckles whiten(s|ed|ing)?\b|\bfingers (flex|flexed|twitch|twitched) at (his|her|their) sides?\b|\bhand flex(es|ed)? at (his|her|their )?sides?\b|\bspine straighten(s|ed)?\b|\bspine stiffen(s|ed)?\b|\bshoulders (tense|tensed|drop|dropped)\b|\b(goes|went) very still\b			Replace reflexive tell with character-specific response	collation:1326-1335 [AI-isms Bible 2.1 Hands/Body]	Source also lists bare 'freezes'; kept at WATCH per single-word policy
tells-2.1-hands-body-watch	WATCH	narration	\b(hands?|knuckles|fingers|spine|shoulders|fists?|freezes?|froze|frozen)\b			Replace with character-specific response	collation:1326-1335 [AI-isms Bible 2.1 Hands/Body]	Bare-word density row; includes 'freezes' from source list
tells-2.1-heart-chest	BANNED	narration	\bheart (stutters|stuttered|pounds|pounded|races|raced)\b|\bchest (tightens|tightened|aches|ached)\b|\bsomething (cracks|cracked|shifts|shifted|loosens|loosened) in (his|her|their) chest\b			Differentiate emotion; autonomic responses are interchangeable	collation:3622-3628 [AI-isms Bible 2.1 Heart/Chest]	
tells-2.1-heart-chest-watch	WATCH	narration	\b(heart|chest)\b			Differentiate emotion by psychology, not anatomy	collation:3622-3628 [AI-isms Bible 2.1 Heart/Chest]	Bare-word density row per body-part group
aiisms-2.3-default-emotion	BANNED	narration	\b(bone|soul|marrow)-deep\b|\b(paper|gossamer|razor)-thin\b|\bfrayed edges\b|\bworn thin\b|\bstretched to breaking\b			Name the actual emotion and its specific quality	collation:1343-1361 [AI-isms Bible 2.3]	paper-thin/razor-thin banned as control/patience/composure descriptors; literal material thinness exempt by judgment
aiisms-2.3-default-emotion-watch	WATCH	narration	\b(raw|visceral|primal|threadbare)\b			Name the actual emotion	collation:1343-1361 [AI-isms Bible 2.3]	Bare single words from same list; 'raw' also in QUICK-SCAN
aiisms-2.17-time-moment	BANNED	narration	\btime stretched\b|\bthe moment crystallized\b|\bsuspended in amber\b|\bfrozen in place\b|\bthe world narrowed to\b|\beverything else fell away\b|\bthe world held its breath\b			Create tension through consciousness, not camera language	collation:1371-1383 [AI-isms Bible 2.17]	
aiisms-2.18-permission-allowance	BANNED	narration	\ballow(s|ed|ing)? (himself|herself|themselves|myself) to\b|\blets? (himself|herself|themselves|myself)\b|\bg(a|i)ve(s|n)? (himself|herself|themselves|myself) permission to\b|\bpermit(s|ted)? (himself|herself|themselves|myself) the luxury of\b|\bfinally let go of\b			Show what changes when restraint drops instead of labeling release	collation:1393-1403 [AI-isms Bible 2.18]	
aiisms-2.22-intimacy-connection	BANNED	narration	\bthe space between them\b|\bclosed the distance\b|\bbreached (his|her|their|my) defenses\b|\bslipped past (his|her|their|my) guard\b|\bgot under (his|her|their|my) skin\b|\bburrowed in\b|\btook root\b|\bsettled into the cracks\b			Treat intimacy as choice, not infiltration; vary the metaphor per relationship	collation:1413-1426 [AI-isms Bible 2.22]	Literal plants taking root / literal military breach exempt by judgment
aiisms-2.28-description-cliches	BANNED	narration	\bcolumn of (his |her |their )?neck\b|\bdelicate wrists\b|\bsharp planes of (his|her|their) face\b|\bthe line of (his|her|their) jaw\b|\bbroad shoulders\b|\blean muscle\b			Create a specific visual impression instead of stock body descriptors	collation:1436-1450 [AI-isms Bible 2.28]	
aiisms-2.28-description-cliches-watch	WATCH	narration	\b(orbs?|pools?|alabaster|porcelain|ivory|mane)\b			Create a specific visual impression	collation:1436-1450 [AI-isms Bible 2.28]	Banned only as body descriptors: orbs/pools for eyes, alabaster/porcelain/ivory for skin, mane for hair; literal uses exempt
aiisms-2.9-quality-texture	WATCH	narration	\b(velvet|silk|steel|iron|granite|marble)\b			Find different textures or describe the actual sensation	collation:1665-1676 [AI-isms Bible 2.9]	Banned as material metaphors for voice/darkness/threat/control/grip/will/gaze/spine; literal materials exempt; overlaps qscan-18
aiisms-2.11-impact-force	BANNED	narration	\bhit like a (physical blow|punch to the gut|freight train)\b|\blanded like a blow\b|\bstruck like a slap\b|\bknocked the air out of\b|\bfelt like a gut punch\b			Show the character-specific response to shock	collation:1686-1698 [AI-isms Bible 2.11]	
aiisms-2.12-ripple-stillness	BANNED	narration	\blike a stone dropped in(to)? still water\b|\brippled through\b|\bsent ripples through\b|\bthe stillness shattered\b|\bcracked the silence like glass\b			Find a unique sensory or emotional anchor	collation:1708-1718 [AI-isms Bible 2.12]	Literal water ripples exempt by judgment
aiisms-2.14-anchor-tether	BANNED	narration	\b(anchored|tethered|grounded) (him|her|them|me)\b|\btethered (him|her|them|me) to\b|\bthe only thing keeping (him|her|them|me) (grounded|present|sane)\b|\bheld (him|her|them|me) in place\b|\bkept (him|her|them|me) tethered\b|\bwas (his|her|their|my) anchor\b			Make connection an active choice; find different stability metaphor or show through action	collation:1728-1745 [AI-isms Bible 2.14]	Literal boats/ropes/electrical grounding exempt by judgment
aiisms-2.14-anchor-tether-watch	WATCH	narration	\b(moored|centered|rooted)\b			Find different stability metaphor or show through action	collation:1728-1745 [AI-isms Bible 2.14]	Bare single words from same list; bare grounded/anchored/tethered/rooted also covered by qscan-24
aiisms-2.15-edge-precipice	BANNED	narration	\bon the edge of something\b|\bteetering on the precipice\b|\bone wrong word (away )?from (falling|breaking|shattering)\b|\bbarely holding on\b|\bhanging by a thread\b			Name the specific psychological state instead of abstract geography	collation:1755-1765 [AI-isms Bible 2.15]	
aiisms-2.23-possession-claiming	BANNED	narration	\bstaked a claim\b|\bmarked (him|her|them|me)\b|\bbranded into\b|\bwritten into (his|her|their|my) skin\b|\bcarved into (his|her|their|my) bones\b			Differentiate the type of possession and why it matters	collation:1775-1785 [AI-isms Bible 2.23]	Literal marking/branding (cattle, exams) exempt by judgment
aiisms-2.35-legacy-puffery	BANNED	narration	\bstands as a testament to\b|\bserves as a reminder of\b|\ba testament to\b|\benduring legacy\b|\blasting (legacy|impact)\b|\bindelible mark\b|\bdeeply rooted\b|\bprofound heritage\b|\bsteadfast dedication\b|\bplays a (vital|pivotal|crucial) role\b|\bof paramount importance\b|\bcannot be overstated\b			Earn significance through consequence, not declaration	collation:1795-1815 [AI-isms Bible 2.35]	
aiisms-2.33-overused-verbs	WATCH	both	\b(delv(e|es|ed|ing)|foster(s|ed|ing)?|garner(s|ed|ing)?|underscor(e|es|ed|ing)|showcas(e|es|ed|ing)|highlight(s|ed|ing)?|emphasiz(e|es|ed|ing)|reflect(s|ed|ing)?|align(s|ed|ing)?|enhanc(e|es|ed|ing)|navigat(e|es|ed|ing)|unpack(s|ed|ing)?)\b			Replace with specific, character-grounded language	collation:1932-1945 [AI-isms Bible 2.33 Overused Verbs]	Cluster row: problem is density, not any one word; highlight/reflect flagged as narrator editorializing; navigate (emotions), unpack (feelings); literal navigation/reflection exempt
aiisms-2.34-narrator-analyst	BANNED	narration	,\s*(highlighting|underscoring|reflecting|emphasizing|showcasing|symbolizing|illustrating|demonstrating)\b			Delete editorial narration; rewrite the action so it speaks for itself	collation:1953-1968 [AI-isms Bible 2.34]	Comma + interpretive participle pattern; merges with trailing-participle rules in constructions.tsv
aiisms-2.33-overused-abstract-nouns	WATCH	both	\b(tapestry|landscape|interplay|intricac(y|ies)|nuances?|nuanced|multifaceted|dynamics|framework|paradigms?)\b			Replace with specific language	collation:1995-2005 [AI-isms Bible 2.33 Overused Abstract Nouns]	Cluster row; tapestry/landscape banned in figurative use only, literal landscape exempt
aiisms-2.33-overused-adjectives	WATCH	both	\b(pivotal|crucial|vital|vibrant|intricate|nuanced|multifaceted|profound|compelling|poignant|evocative|visceral|palpable)\b			Earn importance through action instead of asserting it	collation:2013-2027 [AI-isms Bible 2.33 Overused Adjectives]	Cluster row: flag density, not single occurrence
aiisms-2.36-promotional-brochure	BANNED	narration	\bin the heart of\b|\bboasts? a\b|\bcontinues to captivate\b|\brich tapestry of\b|\bvibrant (culture|community|scene)\b			Create the impression through specific detail, not advertising words	collation:2035-2053 [AI-isms Bible 2.36]	
aiisms-2.36-promotional-brochure-watch	WATCH	narration	\b(nestled|stunning|breathtaking|bustling|picturesque|idyllic)\b			Delete promotional language; describe specifically	collation:2035-2053 [AI-isms Bible 2.36]	Source allows 'nestled' for literal geography; stunning/breathtaking banned as intensifier of anything
qscan-01-jaw	WATCH	both	\bjaw\b			Replace with character-specific tell	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Duplicates tells-2.1-jaw-face-watch density row
qscan-02-throat	WATCH	both	\bthroat\b			Replace with visible struggle	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Duplicates tells-2.1-throat-breath-watch density row
qscan-03-breath-hitch-catch-release	WATCH	both	\bbreath\w*\b[^.!?\n]{0,30}\b(hitch|catch|caught|releas)\w*|\b(hitch|catch|caught|releas)\w*\b[^.!?\n]{0,30}\bbreath			Delete or replace	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Proximity pattern; enforced as BANNED collocations in tells-2.1-throat-breath
qscan-04-something-shifts-breaks-changes	WATCH	both	\bsomething\b[^.!?\n]{0,30}\b(shift|break|broke|chang)\w*			Name what's actually happening	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced as BANNED in aiisms-2.2-vague-interiority and fieldguide-15-something-shifted
qscan-05-raw	WATCH	both	\braw\b			Name the actual emotion	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Literal raw food/materials exempt
qscan-06-carefully	WATCH	both	\bcarefully\b			Show caution through behavior	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Also banned after said/asked in tags-2.5-adverbs-after-said
qscan-07-finally	WATCH	both	\bfinally\b			Show who breaks first	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Covers 2.4's 'finally (as transition)' single-word item
qscan-08-weight-of	WATCH	both	\bweight of\b			Show consequence through reaction	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Literal physical weight exempt; overlaps llm-catalog-fiction-stock
qscan-09-for-a-moment-beat	WATCH	both	\bfor a (moment|beat)\b			Delete or show action	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Longer forms BANNED in aiisms-2.4-transition-beat-placeholders
qscan-10-silence-stretches-hangs-sits	WATCH	both	\bsilence\b[^.!?\n]{0,30}\b(stretch|hang|hung|sit|sat)\w*			Show effect through behavior	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced as BANNED in aiisms-2.2 and aiisms-2.16
qscan-11-like-a-blow	WATCH	both	\blike a blow\b			Show physical sensation directly	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced as BANNED in aiisms-2.11-impact-force
qscan-12-the-need	WATCH	both	\bthe need\b			Specify what character wants	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	
qscan-13-meets-intimacy	WATCH	both	\bmeets\b			Show who acts on whom	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	In intimacy context only; ordinary meetings exempt
qscan-14-doesnt-move	WATCH	both	\bdoesn'?t move\b			End on action or cut earlier	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	
qscan-15-oh-god-jesus-christ	WATCH	both	\boh,? god\b|\bjesus\b|\bchrist\b			Delete	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced as BANNED in aiisms-2.30-religious-expressions; dialogue hits allowlistable per character voice card
qscan-16-guttural	WATCH	both	\bguttural\b			Replace with rough/torn/low	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	
qscan-17-surgical-precision	WATCH	both	\b(surgical|precision)\b			Show actual movement	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced via aiisms-2.7-precision-control rows
qscan-18-steel-iron-velvet	WATCH	both	\b(steel|iron|velvet)\b			Find different texture	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Duplicates aiisms-2.9-quality-texture; literal materials exempt
qscan-19-and-for-now-that-was-enough	WATCH	both	\band for now,? that was enough\b			Cut - find actual ending beat	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced as BANNED scope=ending in aiisms-2.31-ending-cliches
qscan-20-delve-tapestry-landscape	WATCH	both	\b(delve|tapestry|landscape)\b			Replace with specific language	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Duplicates aiisms-2.33 cluster rows
qscan-21-highlighting-underscoring	WATCH	both	\b(highlighting|underscoring)\b			Delete editorial narration	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Comma+participle form BANNED in aiisms-2.34-narrator-analyst
qscan-22-pivotal-crucial-vital	WATCH	both	\b(pivotal|crucial|vital)\b			Earn importance through action	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Duplicates aiisms-2.33-overused-adjectives
qscan-23-nestled-boasts-vibrant	WATCH	both	\b(nestled|boasts?|vibrant)\b			Delete promotional language	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Duplicates aiisms-2.36 rows; nestled OK for literal geography
qscan-24-grounded-anchored-tethered-rooted	WATCH	both	\b(grounded|anchored|tethered|rooted)\b			Find different stability metaphor or show through action	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Collocations BANNED in aiisms-2.14-anchor-tether
qscan-25-familiar-usual-rhythm-routine-ritual	WATCH	both	\b(familiar|usual|rhythm|routine|ritual)\b			Specify the actual pattern or cut	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Sole WATCH density row for the 2.37 word family (the narrower aiisms-2.37-familiarity-routine-watch duplicate was removed — duplicate rows double-count watch density and require two allowlist entries per defended hit); collocation forms BANNED in aiisms-2.37-familiarity-routine; literal music rhythm / specified rituals exempt
qscan-26-passed-in-a-blur-flew-by-slipped-away	WATCH	both	\b(passed in a blur|flew by|slipped away)\b			Cut to next scene or show the time	collation:2063-2092 [AI-isms Bible QUICK-SCAN table]	Enforced as BANNED in aiisms-2.38-time-skip-fillers
writing-jargon-defaults	WATCH	both	\b(delve into|tapestry|realm|leverage|harness(es|ed|ing)?|foster(s|ed|ing)?|empower(s|ed|ing)?|unlock(s|ed|ing)?|unveil(s|ed|ing)?|vibrant|crucial|pivotal|compelling|robust|seamless|holistic|multifaceted|paradigm-shifting|underscores?|testament|valuable insights|rich|profound|enhances?|showcases?|boasts?|ever-changing|ever-evolving|ever-growing)\b			Use only when plainly the right word, not as fallback diction	collation:2112-2117 [Writing ruleset: Jargon defaults]	Source: 'the problem is repeated fallback diction, not the existence of any one word' - flag clusters
aiisms-2.38-time-skip-fillers	BANNED	narration	\bpassed in a blur\b|\bthe next few weeks flew by\b|\btime slipped away\b|\bbefore (he|she|they|I) knew it\b|\blost track of time\b|\bthe days blended together\b|\btime lost all meaning\b|\b(days?|weeks?|months?|years?|seasons?|summer|winter|spring|autumn|fall|holidays?)\b[^.!?\n]{0,15}\bcame and went\b			Either show the time or cut to the next scene without announcing the skip	collation:2215-2230 [AI-isms Bible 2.38]	'came and went' alternation generalizes source's '[time period] came and went' template
tags-2.5-adverbs-after-said	BANNED	narration	\b(said|says|asked|asks)\b,? ?(softly|quietly|carefully|finally|slowly|flatly|evenly|roughly)\b			Embed tone in the dialogue itself; cut the adverbial crutch	collation:2255-2264 [AI-isms Bible 2.5 Adverbs After Said/Asked]	Sublist of 2.5 DIALOGUE TAGS AND MODIFIERS (collation:4272-4274); bare adverbs elsewhere not flagged by this row. Scope=narration: dialogue tags sit OUTSIDE the quotes — the dialogue view contains only in-quote text and would never match a tag.
aiisms-2.19-realization	BANNED	narration	\bit clicked into place\b|\bthe pieces slotted together\b|\bunderstanding dawned\b|\bclarity crashed over\b|\bthe truth of it settled\b|\blanded with the force of\b			Show the thought process or consequence, not that realization happened	collation:2272-2284 [AI-isms Bible 2.19]	
aiisms-2.19-realization-watch	WATCH	narration	\bcrystalliz(e|es|ed|ing)\b			Show the thought process or consequence	collation:2272-2284 [AI-isms Bible 2.19]	Bare single word from same list; 'the moment crystallized' BANNED in aiisms-2.17; literal chemistry exempt
aiisms-2.30-religious-expressions	BANNED	both	\boh,? (my )?god\b|\bgod,? (yes|no)\b|\bjesus\b|\bchrist\b|\b(oh,? |good |dear )lord\b|\blord almighty\b|\blord,? (yes|no)\b			Replace with character-specific expression	collation:2294-2305 [AI-isms Bible 2.30]	dialogue hits allowlistable per character voice card; non-exclamatory references to religion exempt by judgment. 'lord' matched only in exclamatory shells (oh/good/dear lord, lord almighty, lord yes/no) — bare \blord\b would block every honorific/peerage use in historical or fantasy prose.
aiisms-2.33-overused-adverbs	WATCH	both	\b(seemingly|arguably|notably|importantly|ultimately|fundamentally|inherently|undeniably|understandably)\b			Cut or replace with specific voice-true wording	collation:2315-2327 [AI-isms Bible 2.33 Overused Adverbs]	Cluster row: statistically common AI defaults; flag density, not single use
tags-2.5-voice-descriptors	BANNED	narration	\bvoice (drops|dropped|tightens|tightened|goes flat|went flat|breaks|broke|hardens|hardened|softens|softened)\b|\bpitched low\b|\bbarely above a whisper\b|\bdeceptively (soft|mild)\b|\bdeliberately light\b|\bfalsely casual\b|\btoo casual\b			Make the dialogue itself convey the tone	collation:2564-2579 [AI-isms Bible 2.5 Voice Descriptors]	Sublist of 2.5 DIALOGUE TAGS AND MODIFIERS (collation:4272-4274). Scope=narration: voice descriptors sit OUTSIDE the quotes — the dialogue view contains only in-quote text and would never match them.
aiisms-2.10-temperature	BANNED	narration	\bice in (his|her|their|my) veins\b|\bblood ran cold\b|\bwarmth spread through\b|\bheat pooled( low)?\b|\bheat between them\b|\bfire licked up\b|\bsomething molten\b|\bcold settled in (his|her|their|my) bones\b			Widen the emotional register beyond hot/cold binary	collation:2589-2604 [AI-isms Bible 2.10]	
aiisms-2.10-temperature-watch	WATCH	narration	\b(cold|frozen)\b			Widen the emotional register beyond hot/cold binary	collation:2589-2604 [AI-isms Bible 2.10]	Banned only as voice/gaze/tone/affect descriptors; literal temperature exempt
llm-catalog-fiction-stock	WATCH	both	\bunspoken\b|\bweight of\b|\bsense of\b|\bmix of\b|\bair was thick\b|\bhung in the air\b|\beyes darting\b|\ba sense of unease in the pit of (her|his|their|my) stomach\b			Replace ready-made depth/mood signals with concrete dramatic choices	collation:73 [LLM writing outputs report: Catalog of quirks]	Fiction-stock templates disproportionate in LLM prose; 'hung in the air' also BANNED via aiisms-2.16; flag clusters, not single hits
llm-catalog-ai-words	WATCH	both	\b(delve|nuanced|multifaceted|testament to|realm|intricate|tapestry)\b			Replace sound-literary defaults with words that carry local dramatic weight	collation:73 [LLM writing outputs report: Catalog of quirks]	Merge with AI-isms Bible 2.33 vocabulary cluster rows; source: 'the key point is not that any one word is forbidden' - flag clusters
aiisms-2.20-danger-threat	BANNED	narration	\blethal grace\b|\bpredatory stillness\b|\bcoiled to strike\b|\bdangerous edge\b|\bbarely contained violence\b|\bquiet menace\b|\bsoft threat\b|\bthe promise of violence\b			Differentiate dangerous characters; drop the stock predator-animal vocabulary	collation:3416-3429 [AI-isms Bible 2.20]	Literal snake coiled to strike exempt by judgment
aiisms-2.24-emotional-shorthand	BANNED	narration	\btamped down\b|\blocked down\b|\bheld in check\b|\bbarely leashed\b|\btightly controlled\b|\bwhite-knuckled control\b|\biron grip on\b|\bruthlessly suppressed\b|\bshoved down\b			Show the mechanism, cost, or leak of containment	collation:3439-3454 [AI-isms Bible 2.24]	Literal lockdowns/physical shoving exempt by judgment
aiisms-2.24-emotional-shorthand-watch	WATCH	narration	\bcompartmentaliz(e|es|ed|ing)\b			Show the mechanism, cost, or leak of containment	collation:3439-3454 [AI-isms Bible 2.24]	Bare single word from same list
aiisms-2.27-cinematic-wallpaper	BANNED	narration	\blight (spills|spilled|pools|pooled|catches|caught)\b|\bshadows play(ed)? across\b|\bthe skyline stretch(es|ed)\b|\bfloor-to-ceiling windows\b|\bin sharp relief\b|\bneon glow\b|\b(ozone smell|smell of ozone)\b|\bthe city hummed\b			Start with character consciousness, not set dressing	collation:3464-3477 [AI-isms Bible 2.27]	'in sharp relief' covers source's 'casting [X] in sharp relief' template
aiisms-2.2-vague-interiority	BANNED	narration	\bsomething in (him|her|them|me) (shifts|shifted|breaks|broke|cracks|cracked|loosens|loosened|changes|changed)\b|\bsomething unnameable\b|\bthe weight of [^.!?\n]{0,40}\b(settle|press|land)\w*\b|\ba wave of \w+ (crash|wash)\w*\b|\b(curl|coil)(s|ed)? in (his|her|their|my) stomach\b|\b(feels?|felt) it in (his|her|their|my) bones\b|\bthe words (hang|hung) between them\b|\bthe silence (stretches|stretched|sits heavy|sat heavy|presses|pressed)\b|\bthe air (thickens|thickened|shifts|shifted|changes|changed)\b|\bthe room (feels|felt) smaller\b			Name the actual emotion or stake; show how the change manifests	collation:3895-3911 [AI-isms Bible 2.2]	Templates with [emotion]/[X] slots encoded as bounded wildcards
aiisms-2.2-vague-interiority-watch	WATCH	narration	\bsomething like\b			Name the actual emotion instead of 'something like [emotion]'	collation:3895-3911 [AI-isms Bible 2.2]	Only flagged when followed by an emotion word; ordinary comparisons ('something like a mile') exempt
aiisms-2.32-misc-high-frequency	BANNED	narration	\bcut through the noise\b|\bsliced through\b|\bpierced through\b|\bwormed its way into\b|\bclawed its way up\b|\bfought its way to the surface\b|\bthreatened to spill over\b|\bbarely contained\b|\bheld at bay\b|\bthe (architecture|geometry|calculus|mathematics|grammar) of\b			Show character experience instead of pseudo-intellectual framing	collation:3921-3940 [AI-isms Bible 2.32]	Literal slicing/piercing and literal architecture/geometry exempt by judgment
aiisms-2.7-precision-control	BANNED	narration	\bsurgical precision\b|\bwith practiced (ease|efficiency)\b|\beconomical movements?\b|\bdeliberate and controlled\b			Show the specific action instead of 'impressive' shorthand	collation:4282-4299 [AI-isms Bible 2.7]	phrase bank for constructions 1.18; merge of 2.7 with 1.18 handled in constructions.tsv
aiisms-2.7-precision-control-watch	WATCH	narration	\b(precision|calculated|calibrated|methodical|clinical|exacting|meticulous)\b			Show the specific action instead of clinical competence labels	collation:4282-4299 [AI-isms Bible 2.7]	phrase bank for constructions 1.18; bare single words from same list; literal medical/technical uses exempt
aiisms-2.29-activities-filler	WATCH	narration	\b(dishwashing|folding laundry|reading (a )?books?|drinking (tea|coffee)|flipping through magazines?|wiping counters?|tidying)\b			Replace neutral busywork with decision, conflict, or risk	collation:5292-5302 [AI-isms Bible 2.29 Activities]	Banned as scene filler only; activities with narrative function exempt
aiisms-2.29-clothing-filler	WATCH	narration	\b(shorts|tees?|t-shirts?|sweats|sweatpants|leggings|jeans|thin cotton|soft cotton|sleeves rolled to the elbows?)\b			Cut wardrobe filler unless plot-relevant	collation:5454-5462 [AI-isms Bible 2.29 Clothing]	Source allows jeans when plot-relevant; banned as padding detail only
